tceid,ticid,tce_plnt_num,sectors,lastUpdate,tce_period,tce_period_err,tce_time0bt,tce_time0bt_err,tce_time0,tce_time0_err,tce_ror,tce_ror_err,tce_dor,tce_dor_err,tce_incl,tce_incl_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_ingress,tce_ingress_err,tce_depth,tce_depth_err,tce_eccen,tce_eccen_err,tce_longp,tce_longp_err,tce_limbdark_mod,tce_ldm_coeff1,tce_ldm_coeff2,tce_ldm_coeff3,tce_ldm_coeff4,tce_num_transits,tce_trans_mod,tce_full_conv,tce_model_snr,tce_model_chisq,tce_model_dof,tce_robstat,tce_dof2,tce_chisq2,tce_chisqgofdof,tce_chisqgof,tce_prad,tce_prad_err,tce_sma,tce_sma_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_ntoi,tce_sectors,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_smet,tce_smet_err,tce_sradius,tce_sradius_err,tce_sdensity,tce_sdensity_err,tce_steff_prov,tce_slogg_prov,tce_smet_prov,tce_sradius_prov,tce_sdensity_prov,tcet_period,tcet_period_err,tcet_time0bt,tcet_time0bt_err,tcet_time0,tcet_time0_err,tcet_duration,tcet_duration_err,tcet_ingress,tcet_ingress_err,tcet_depth,tcet_depth_err,tcet_full_conv,tcet_model_chisq,tcet_model_dof,wst_robstat,wst_depth,tce_ws_mesmedian,tce_ws_mesmad,tce_ws_maxmes,tce_ws_minmes,tce_ws_maxmesd,tce_ws_minmesd,tce_max_sngle_ev,tce_max_mult_ev,tce_bin_oedp_stat,tce_bin_spc_stat,tce_bin_lpc_stat,tce_albedo,tce_albedo_err,tce_ptemp,tce_ptemp_err,tce_albedo_stat,tce_ptemp_stat,boot_fap,boot_mesthresh,boot_mesmean,boot_messtd,bootstrap_transit_count,tce_cap_stat,tce_hap_stat,tce_dicco_mra,tce_dicco_mra_err,tce_dicco_mdec,tce_dicco_mdec_err,tce_dicco_msky,tce_dicco_msky_err,tce_ditco_mra,tce_ditco_mra_err,tce_ditco_mdec,tce_ditco_mdec_err,tce_ditco_msky,tce_ditco_msky_err
00008444713-01,8444713,1,s0078,17-07-2024,12.3236,,3436.79,,2460436.79,,0.112906,,34.7897,,89.8353,,0.1,,3,,0.307224,,14499.6,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.4246784,0.5367144,-0.5171072,0.1615176,2,mandel-agol_geometric_transit_model,FALSE,-1,-1,-1,104.9982,671.3433,4322.943,137,5013.982,20.0769,,0.115407,,1083.49,,325.708,,1,1,6536,133.893,4.144,8.46E-02,0,0,1.62884,7.17E-02,0.3119762,6.23E-02,TIC8.2,TIC8.2,Solar,TIC8.2,TIC8.2-Der,12.32360554,-1,3436.75701,-1,2460436.757,-1,4.760172384,-1,2.191438126,-1,22870.44257,-1,TRUE,17680,1077,2.424507,368.3982,-0.121696,0.5362935,2.33964,-1.361125,2.35275,2.09442,117.91,76.01342,0,0,0,0,-1,0,-1,0,0,0,7.553954,-0.8065575,1.68706,2,75.28442,8.765377,1.100242,2.501536,-7.25E-02,2.502412,1.102631,2.501539,-0.4737776,2.501534,-0.3034185,2.502411,0.5626082,2.501789
00008592033-01,8592033,1,s0078,17-07-2024,2.17084,,3434.37,,2460434.37,,0.177402,,5.24048,,79.1094,,0.990105,,2.0586,,1.0293,,12586.3,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.709664,-0.6611608,1.181128,-0.4812512,5,mandel-agol_geometric_transit_model,TRUE,18.23655,794.8904,1095.212,12.91818,22.65345,0.96366,149,138.4752,99.5014,,9.77E-02,,1497.84,,1189.54,,2,1,4682,140,4.438,0,0,0,5.13769,0,1,0,TIC8.2,Solar,Solar,TIC8.2,Solar,2.171236753,-1,3434.371638,-1,2460434.372,-1,1.490644673,-1,0.546908153,-1,15526.22747,-1,TRUE,670906,1181,17.76302,11102.81,0.02923,0.5938823,236.0302,-66.79114,0.12359,0.147199,20.15943,10.81714,6.88194,0.001968259,0,5.894146,5.628482,3608.363,868.1608,0.8695322,2.427803,4.49E-08,16.072,-4.706686,2.921432,9,3.697657,7.289273,-4.24E-02,2.500034,-8.64E-02,2.500046,9.62E-02,2.500044,0.5387455,2.500034,-2.85E-02,2.500045,0.5394979,2.500034
00008592033-02,8592033,2,s0078,17-07-2024,2.16661,,3434.52,,2460434.52,,0.056491,,17.4191,,89.6711,,0.1,,1,,5.40E-02,,0,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.709664,-0.6611608,1.181128,-0.4812512,0,mandel-agol_geometric_transit_model,FALSE,-1,-1,-1,14.38218,26.31588,64.02135,53,293.7838,31.6847,,9.76E-02,,1498.81,,1192.64,,2,1,4682,140,4.438,0,0,0,5.13769,0,1,0,TIC8.2,Solar,Solar,TIC8.2,Solar,2.166607095,-1,3434.502175,-1,2460434.502,-1,3.196808412,-1,1.130977483,-1,173791.1027,-1,TRUE,598153,598,41.7127,32836.11,0.0110688,0.4292516,81.08018,-26.8711,0.1222,0.14581,20.21699,20.95348,0,0,0.001968259,0,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1.730489,3.828799,-4.82E-02,2.500007,-0.1648137,2.500009,0.1717206,2.500009,0.5213776,2.500006,-0.1149746,2.500008,0.5339043,2.500006
00008669966-01,8669966,1,s0078,17-07-2024,1.69719,,3434.8,,2460434.8,,0.103308,,2.20885,,63.3689,,0.990105,,3.22989,,1.61495,,4795.84,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.5109323,0.254582,-0.2744412,0.08917928,8,mandel-agol_geometric_transit_model,TRUE,21.51679,3219.507,3997.322,10.52199,15.29405,9.37573,719,774.9817,42.2469,,3.38E-02,,3552.95,,37659.7,,1,1,7651,126.508,3.54356,7.94E-02,0,0,3.74592,0.108704,3.40E-02,6.30E-03,TIC8.2,TIC8.2,Solar,TIC8.2,TIC8.2-Der,1.697221398,-1,3434.803171,-1,2460434.803,-1,3.43736548,-1,1.578987593,-1,5682.124818,-1,TRUE,71951,4571,2.243687,563.8312,-0.0930323,0.4838373,3.3601,-2.558033,-0.33752,1.22359,8.376961,9.99157,16.96637,0,0,0.1988091,0.2484825,3668.079,1142.146,-3.224335,0.1002079,4.30E-12,10.50884,-2.161235,1.777721,11,0,0,4.236906,2.500168,1.681454,2.500247,4.558361,2.500179,3.254443,2.500162,1.291873,2.500246,3.501476,2.500174
00010507330-01,10507330,1,s0078,17-07-2024,5.12096,,3439.1,,2460439.1,,5.81E-02,,7.22519,,82.5463,,0.937286,,2.68362,,1.08842,,2820.39,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.4224455,0.5452637,-0.5174602,0.1607778,3,mandel-agol_geometric_transit_model,TRUE,11.73384,841.8452,1034.069,11.07837,14.31244,4.52E-02,179,196.6602,13.1212,,6.35E-02,,1619.26,,1624.75,,1,1,6429,195.064,3.92041,9.20E-02,0,0,2.06759,8.92E-02,0.1468741,3.18E-02,TIC8.2,TIC8.2,Solar,TIC8.2,TIC8.2-Der,5.120831013,-1,3439.101684,-1,2460439.102,-1,2.689874823,-1,0.908292931,-1,3049.989967,-1,TRUE,12898,1468,2.324588,532.2807,-0.0210893,0.6803657,2.84767,-2.70835,1.21942,-1.19724,7.160546,11.76687,9.67E-02,0,0,6.849689,3.31695,4050.182,483.9655,1.763575,4.961683,1.53E-68,4.927052,1.388423,0.5945214,3,6.187965,0.5480547,0.9963875,2.549664,-1.832728,2.888525,2.086068,2.814811,0.1895085,2.549644,-1.120335,2.88852,1.13625,2.879633
00010792081-01,10792081,1,s0078,17-07-2024,10.1655,,3437.03,,2460437.03,,2.85E-02,,16.4496,,89.4915,,0.145989,,4.80977,,0.136377,,945.829,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.552901,-1.34E-02,0.3157677,-0.1969476,2,mandel-agol_geometric_transit_model,TRUE,9.347422,1147.81,1347.491,8.587569,8.129793,0.41126,299,300.2657,3.1598,,9.36E-02,,850.646,,123.742,,1,1,5856,140.863,4.44988,7.81E-02,0,0,1.0147,4.92E-02,1.012843,0.1886419,TIC8.2,TIC8.2,Solar,TIC8.2,TIC8.2-Der,10.17360592,-1,3437.027645,-1,2460437.028,-1,7.025844045,-1,3.467138807,-1,1339.722425,-1,TRUE,12950,2249,3.977557,474.7018,-0.114582,0.5243263,3.97262,-2.337933,2.86525,-1.63474,6.116819,8.11185,0.1001508,0,0,229.3129,118.8469,5117.953,655.4972,1.921067,6.501595,1.98E-14,6.725867,3.728782,0.5795781,2,4.333488,0.9058139,1.06425,2.665645,-3.386057,3.081114,3.549368,3.04608,6.50E-02,2.665637,-2.931608,3.081112,2.932328,3.080922
00012790306-01,12790306,1,s0078,17-07-2024,0.592359,,3434.78,,2460434.78,,0.307768,,1.45022,,49.1772,,0.948037,,4.35739,,2.17869,,49197.1,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.5332172,6.39E-02,0.2074825,-0.1531164,31,mandel-agol_geometric_transit_model,TRUE,476.0464,9534.011,11488.25,294.6022,7904.43,1201.05,1669,63758.36,391.274,,7.10E-02,,3353.35,,29884,,1,1,5932,124,4.438,0,0,0,11.6454,0,1,0,TIC8.2,Solar,Solar,TIC8.2,Solar,0.592564344,-1,3434.771595,-1,2460434.772,-1,2.900103491,-1,1.187849084,-1,32384.5372,-1,TRUE,65242,6108,0.6788214,48.73531,0.155917,1.702095,3.58844,-4.288764,0.4356,0.207819,46.83598,175.3325,2.829201,0,0,0.000881699,1.10E-03,893.4084,279.0222,-909.1235,-8.550609,0,12.65207,-0.6886708,1.873813,30,0,0,0.197486,2.500003,1.031796,2.50001,1.050525,2.50001,0.3560691,2.500001,-9.62E-02,2.500006,0.3688449,2.500001
00013037534-01,13037534,1,s0078,17-07-2024,7.18655,,3440.95,,2460440.95,,0.34073,,2.16129,,62.7349,,0.990105,,26.8973,,13.4487,,49942.6,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.5914144,-0.1623944,0.5234897,-0.279698,3,mandel-agol_geometric_transit_model,TRUE,20.97088,8750.605,8240.785,64.46262,481.3801,5378.172,629,10439.78,489.838,,0.406626,,1429.82,,987.751,,1,1,5694,126,4.438,0,0,0,13.1686,0,1,0,TIC8.2,Solar,Solar,TIC8.2,Solar,7.252774239,-1,3440.947004,-1,2460440.947,-1,15.54167019,-1,5.454677557,-1,49122.49232,-1,TRUE,377210,5452,9.400114,3381.849,0.794315,2.726973,59.52589,-59.62614,1.59303,2.00692,102.4799,74.21118,1929.166,0,0,1.282081,1.1598,2352.345,534.616,0.2432155,1.722568,0,3.52518,1.400466,0.4367092,2,-0.7136381,3.95233,0.3177979,2.500006,0.4537246,2.50003,0.5539508,2.500022,0.1983431,2.500005,-0.1038044,2.500028,0.2238645,2.50001
00013389059-01,13389059,1,s0078,17-07-2024,5.41457,,3437.7,,2460437.7,,4.70E-02,,1.83659,,60.0271,,0.917544,,13.3432,,3.31028,,1874.46,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.5712936,-8.55E-02,0.4172728,-0.2379788,3,mandel-agol_geometric_transit_model,TRUE,8.729993,3674.356,3337.502,198.7771,4108.128,46203.03,299,101191.1,5.13387,,6.04E-02,,1037.98,,274.329,,1,1,5780,0,4.438,0,0,0,1,0,1,0,Solar,Solar,Solar,Solar,Solar,5.330553055,-1,3437.82443,-1,2460437.824,-1,8.391276655,-1,2.953982955,-1,16639.15928,-1,TRUE,151337,2974,3.61811,582.8917,0.110361,0.7615043,7.60166,-6.202719,0.60275,1.8597,239.0177,171.5258,0,0,0,44.35094,12.49482,4141.462,291.7141,3.469513,10.63878,0,10.83579,-2.701301,2.121217,3,5.740018,2.648725,-0.214267,2.500002,-1.69E-02,2.50001,0.2149325,2.500002,0.7024997,2.500001,0.7341158,2.500008,1.016087,2.500005
00016883522-01,16883522,1,s0078,17-07-2024,4.46764,,3437.34,,2460437.34,,0.169113,,7.68083,,88.2111,,0.23978,,5.10609,,0.781498,,32379.1,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.4371411,0.4693711,-0.3972841,0.1063741,3,mandel-agol_geometric_transit_model,TRUE,149.2392,1751.951,1998.793,116.5391,1182.782,455.5493,393,1330.111,30.7595,,0.0575214,,1512.98,,1238.39,,1,1,6371,128.897,4.09847,9.16E-02,0,0,1.66609,7.48E-02,0.2746449,0.05919837,TIC8.2,TIC8.2,Solar,TIC8.2,TIC8.2-Der,4.469442368,-1,3437.335232,-1,2460437.335,-1,4.95358388,-1,0.820728532,-1,31006.70995,-1,TRUE,8605,3082,2.304852,1104.446,0.00732454,0.557066,3.12805,-2.897035,-0.63058,2.54303,92.97578,138.3101,2.04E-04,0,0,2.124816,0.9351147,2824.261,299.2097,1.202864,4.290227,0,12.97319,-3.31619,2.400858,4,101.0364,18.18563,-0.1016684,2.501122,-0.5536679,2.500813,0.5629251,2.500823,8.02E-02,2.50112,-0.4592413,2.500811,0.466199,2.50082
